--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.002  000.002: --- NVIM STARTING ---
000.551  000.549: event init
000.697  000.146: early init
000.778  000.080: locale set
000.830  000.052: init first window
001.491  000.661: inits 1
001.520  000.029: window checked
001.525  000.005: parsing arguments
002.341  000.078  000.078: require('vim.shared')
002.518  000.073  000.073: require('vim.inspect')
002.602  000.066  000.066: require('vim._options')
002.613  000.267  000.128: require('vim._editor')
002.668  000.053  000.053: require('vim._system')
002.670  000.453  000.055: require('vim._init_packages')
002.673  000.696: init lua interpreter
002.798  000.125: expanding arguments
002.834  000.036: inits 2
003.288  000.453: init highlight
003.315  000.027: clear screen
003.550  000.020  000.020: require('vim.keymap')
004.707  000.213  000.213: sourcing nvim_exec2()
004.890  001.572  001.339: require('vim._defaults')
004.893  000.006: init default mappings & autocommands
005.653  000.074  000.074: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
005.754  000.036  000.036: sourcing /usr/local/share/nvim/runtime/indent.vim
006.596  000.684  000.684: require('config.options')
006.717  000.117  000.117: require('config.neovide')
007.467  000.607  000.607: require('lazy')
007.511  000.018  000.018: require('ffi')
007.596  000.053  000.053: require('vim.fs')
007.772  000.172  000.172: require('vim.uri')
007.794  000.278  000.054: require('vim.loader')
007.988  000.167  000.167: require('lazy.stats')
008.174  000.152  000.152: require('lazy.core.util')
008.658  000.480  000.480: require('lazy.core.config')
009.373  000.325  000.325: require('lazy.core.handler')
010.269  000.142  000.142: require('lazy.pkg')
010.279  000.520  000.378: require('lazy.core.meta')
010.295  000.919  000.399: require('lazy.core.plugin')
010.307  001.645  000.401: require('lazy.core.loader')
011.870  000.184  000.184: require('lazy.async')
012.755  000.526  000.526: require('lazy.manage.process')
013.341  000.582  000.582: require('lazy.terminal')
013.353  001.476  000.368: require('lazy.manage.task')
013.357  001.946  000.286: require('lazy.manage.runner')
013.363  002.246  000.300: require('lazy.manage')
013.369  002.715  000.468: require('lazy.view.commands')
013.532  000.123  000.123: require('lazy.core.fragments')
018.080  000.019  000.019: require('vim.F')
018.241  000.763  000.744: require('vim.diagnostic')
021.008  000.820  000.820: require('config.keybind_definitions')
023.714  000.055  000.055: require('lazy.core.handler.event')
023.721  000.123  000.068: require('lazy.core.handler.ft')
023.762  000.037  000.037: require('lazy.core.handler.cmd')
023.806  000.041  000.041: require('lazy.core.handler.keys')
024.284  000.010  000.010: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
024.301  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
026.197  000.129  000.129: sourcing nvim_exec2() called at /usr/local/share/nvim/runtime/filetype.lua:0
026.201  000.196  000.067: sourcing /usr/local/share/nvim/runtime/filetype.lua
026.204  000.231  000.035: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
026.916  000.263  000.263: require('snacks')
